title,console
Fantastic 4,GBA
SSX Tricky,GBA
Paws & Claws - Best Friends - Dogs & Cats,GBA
Word Safari - The Friendship Totems,GBA
2006 FIFA World Cup - Germany 2006,GBA
Mega Man Battle Network 6 - Cybeast Gregar,GBA
Gadget Racers,GBA
Rayman - Raving Rabbids,GBA
Advance Wars 2 - Black Hole Rising,GBA
Little Einsteins,GBA
Stuart Little 2,GBA
"Legend of Spyro, The - A New Beginning",GBA
GBA Movie Player 2 CF,gba
Barbie as the Island Princess,GBA
Baldur's Gate - Dark Alliance,GBA
Weekend Miljonairs,GBA
Turbo Turtle Adventure,GBA
Madden NFL 2002,GBA
Donkey Kong Country 2,GBA
Sonic Advance 2,GBA
Classic NES Series - Donkey Kong,GBA
Gem Smashers,GBA
Disney Sports - Snowboarding,GBA
Sea Trader - Rise of Taipan,GBA
Mega Man Battle Network 3 - Blue Version,GBA
Barbie Superpack,GBA
Game & Watch Gallery 4,GBA
WWE - Road to WrestleMania X8,GBA
"Lion King 1 1-2, The",GBA
Flushed Away,GBA
Lady Sia,GBA
NBA Jam 2002,GBA
Spy Kids Challenger,GBA
"Lord of the Rings, The - The Third Age",GBA
Final Fantasy Tactics Advance,GBA
GameShark GBA,gba
"Sound of Thunder, A",GBA
One Piece,GBA
Tony Hawk's American Sk8land,GBA
Tweety and the Magic Gems,GBA
e-Reader,GBA
Midnight Club - Street Racing,GBA
Pokemon - Sapphire Version,GBA
F-Zero - Maximum Velocity,GBA
Tak 2 - The Staff of Dreams,GBA
Yu-Gi-Oh! GX - Duel Academy,GBA
Bionicle Heroes,GBA
Backyard Sports - Football 2007,GBA
That's So Raven 2 - Supernatural Style,GBA
Davis Cup,GBA
Castlevania - Harmony of Dissonance,GBA
Ultimate Winter Games,GBA
Samurai Deeper Kyo,GBA
Barbie - The Princess and the Pauper,GBA
"Land Before Time, The - Into the Mysterious Beyond",GBA
Wario Land 4,GBA
Agassi Tennis Generation,GBA
Crash Superpack,GBA
Mega Man Zero 2,GBA
Teenage Mutant Ninja Turtles Double Pack,GBA
Gumby vs. the Astrobots,GBA
"Tower SP, The",GBA
2 in 1 Game Pack - Tony Hawk's Underground + Kelly Slater's Pro Surfer,GBA
Dragon Ball Z - Buu's Fury,GBA
FIFA Soccer 2004,GBA
"WarioWare, Inc. - Mega Microgame$!",GBA
Strawberry Shortcake - Summertime Adventure,GBA
Rugrats - Travesuras en el Castillo,GBA
Drome Racers,GBA
X-Bladez - Inline Skater,GBA
Pocky & Rocky with Becky,GBA
Overlay Sample by Nintendo,GBA
Harry Potter and the Goblet of Fire,GBA
Sports Illustrated for Kids - Football,GBA
Mega Man Battle Network 6 - Cybeast Falzar,GBA
Big Mutha Truckers,GBA
"Sum of All Fears, The",GBA
Fire Emblem,GBA
Driv3r,GBA
SSX 3,GBA
Juka and the Monophonic Menace,GBA
Shaman King - Master of Spirits,GBA
Over the Hedge,GBA
Hi Hi Puffy AmiYumi - Kaznapped!,GBA
Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change,GBA
Battle B-Daman - Fire Spirits!,GBA
Game Boy Advance Video - SpongeBob SquarePants - Volume 1,GBA
Rebelstar - Tactical Command,GBA
Classic NES Series - Dr. Mario,GBA
Hot Wheels - Velocity X,GBA
Robotech - The Macross Saga,GBA
Zoids Legacy,GBA
Tarzan - Return to the Jungle,GBA
Summon Night - Swordcraft Story 2,GBA
Robots,GBA
2-in-1 Fun Pack - Shrek 2 + Madagascar,GBA
Pac-Man Collection,GBA
Kirby & the Amazing Mirror,GBA
Pac-Man Collection,GBA
Backyard Hockey,GBA
International Karate Plus,GBA
Game Boy Advance Video - Disney Channel Collection - Volume 2,GBA
Aggressive Inline,GBA
Tactics Ogre - The Knight of Lodis,GBA
Trollz - Hair Affair!,GBA
Game Boy Advance Video - Dora the Explorer - Volume 1,GBA
Monster Truck Madness,GBA
Game Boy Advance Video - Cartoon Network Collection - Limited Edition,GBA
Butt-Ugly Martians - B.K.M. Battles,GBA
Boxing Fever,GBA
Ultimate Puzzle Games,GBA
Spyro Superpack,GBA
Monopoly,GBA
GT Advance 3 - Pro Concept Racing,GBA
Extreme Skate Adventure,GBA
Madden NFL 2004,GBA
Barnyard,GBA
Dogz 2,GBA
Final Fantasy I & II - Dawn of Souls,GBA
Blades of Thunder,GBA
Monster House,GBA
Sega Arcade Gallery,GBA
Game Boy Advance Video - Cartoon Network Collection - Premium Edition,GBA
Mega Man Battle Network 6 - Cybeast Falzar,GBA
Namco Museum - 50th Anniversary,GBA
Paws & Claws - Pet Resort,GBA
BattleBots - Beyond the BattleBox,GBA
Around the World in 80 Days,GBA
Breath of Fire,GBA
Popeye - Rush for Spinach,GBA
"Fairly OddParents!, The - Clash with the Anti-World",GBA
GT Advance - Championship Racing,GBA
Starsky & Hutch,GBA
Disney Princesas,GBA
ATV - Thunder Ridge Riders,GBA
Minority Report - Everybody Runs,GBA
Spirits & Spells,GBA
ChuChu Rocket!,GBA
Greg Hastings' Tournament Paintball Max'd,GBA
Mighty Beanz Pocket Puzzles,GBA
Game Boy Advance Video - Cartoon Network Collection - Volume 1,GBA
2 Games in 1 - Power Rangers - Ninja Storm + Power Rangers - Time Force,GBA
"Powerpuff Girls, The - Him and Seek",GBA
Rugrats - Go Wild,GBA
Road Rash - Jailbreak,GBA
Spider-Man,GBA
Breath of Fire II,GBA
Double Dragon Advance,GBA
Dragon Ball Z - The Legacy of Goku II,GBA
Ballistic - Ecks vs. Sever,GBA
Hamtaro - Ham-Ham Heartbreak,GBA
Finding Nemo - The Continuing Adventures,GBA
Dragon Tales - Dragon Adventures,GBA
Dr. Sudoku,GBA
Gekido Advance - Kintaro's Revenge,GBA
ESPN X-Games Skateboarding,GBA
"Ripping Friends, The",GBA
Tony Hawk's Underground,GBA
"Ed, Edd n Eddy - Jawbreakers!",GBA
Classic NES Series - Castlevania,GBA
Dinotopia - The Timestone Pirates,GBA
Capcom Classics Mini Mix,GBA
"Legend of Spyro, The - The Eternal Night",GBA
Castlevania - Circle of the Moon,GBA
Crash & Spyro Superpack - Spyro Orange - The Cortex Conspiracy + Crash Bandicoot Purple - Ripto's Rampage,GBA
Pokemon - Emerald Version,GBA
Namco Museum,GBA
Disney's Game + TV Episode - Lizzie McGuire 2 - Lizzie Diaries,GBA
Star X,GBA
Backyard Football,GBA
Cartoon Network Speedway,GBA
F-Zero - GP Legend,GBA
Mega Man Battle Network 2,GBA
Dead to Rights,GBA
Dexter's Laboratory - Deesaster Strikes!,GBA
Mat Hoffman's Pro BMX,GBA
Dragon Ball Z - Supersonic Warriors,GBA
Kelly Slater's Pro Surfer,GBA
Bratz,GBA
Planet of the Apes,GBA
"Lord of the Rings, The - The Two Towers",GBA
TMNT,GBA
Top Gear Rally,GBA
Mega Man Battle Network,GBA
Shamu's Deep Sea Adventures,GBA
F24 Stealth Fighter,GBA
"Simpsons, The - Road Rage",GBA
Avatar - The Last Airbender - The Burning Earth,GBA
Hot Wheels - World Race,GBA
2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway,GBA
Mega Man Battle Network 4 - Red Sun,GBA
Clu Clu Land,GBA
Smashing Drive,GBA
Klonoa - Empire of Dreams,GBA
Nicktoons - Freeze Frame Frenzy,GBA
Power Rangers S.P.D.,GBA
Nintendogs + Super Mario 64 DS - Trainer Expansion for NDS,GBA
Yu-Gi-Oh! - 7 Trials to Glory - World Championship Tournament 2005,GBA
2 Game Pack! - Uno + Skip-Bo,GBA
Contra Advance - The Alien Wars EX,GBA
Game Boy Advance Video - Cartoon Network Collection - Volume 2,GBA
Mario Pinball Land,GBA
Three-in-One Pack - Risk + Battleship + Clue,GBA
Balloon Fight,GBA
Arthur and the Invisibles,GBA
LEGO Star Wars - The Video Game,GBA
Mega Man Battle Network 2,GBA
Ty the Tasmanian Tiger 3 - Night of the Quinkan,GBA
Yoshi's Cookie,GBA
Need for Speed - Most Wanted,GBA
3 Game Pack! - Candy Land + Chutes and Ladders + Original Memory Game,GBA
"Little Mermaid, The - Magic in Two Kingdoms",GBA
Madagascar - Operacion Pinguino,GBA
Scooby-Doo 2 - Monsters Unleashed,GBA
James Pond - Codename Robocod,GBA
Sword of Mana,GBA
Deal or No Deal,GBA
Spy Kids 3-D - Game Over,GBA
Rescue Heroes - Billy Blazes!,GBA
Shin chan - Aventuras en Cineland,GBA
Scrabble Blast!,GBA
Masters of the Universe He-Man - Power of Grayskull,GBA
Spyro Orange - The Cortex Conspiracy,GBA
Shaman King - Legacy of the Spirits - Sprinting Wolf,GBA
Lara Croft Tomb Raider - Legend,GBA
Noddy - A Day in Toyland,GBA
Spyro Orange - The Cortex Conspiracy,GBA
Kim Possible - Revenge of Monkey Fist,GBA
Buffy the Vampire Slayer - Wrath of the Darkhul King,GBA
"Three Stooges, The",GBA
High School Musical - Livin' the Dream,GBA
FIFA Soccer 2003,GBA
Mario Golf - Advance Tour,GBA
ESPN Final Round Golf 2002,GBA
Soccer,GBA
2 Games in One! - Gauntlet + Rampart,GBA
Pitfall - The Mayan Adventure,GBA
Extreme Skate Adventure,GBA
Need for Speed - Underground,GBA
Meet the Robinsons,GBA
Bratz - Babyz,GBA
Crash Bandicoot 2 - N-Tranced,GBA
Ratatouille,GBA
Gauntlet - Dark Legacy,GBA
Road Trip - Shifting Gears,GBA
Game Boy Advance Video - Dragon Ball GT - Volume 1,GBA
Pokemon - Sapphire Version,GBA
Super Puzzle Fighter II Turbo,GBA
Mega Man Battle Network 4 - Red Sun,GBA
Paard & Pony - Paard in Galop,GBA
Mike Tyson Boxing,GBA
Mega Man Battle Network 4 - Blue Moon,GBA
Backyard Skateboarding,GBA
Sega Rally Championship,GBA
Tom and Jerry in Infurnal Escape,GBA
Salt Lake 2002,GBA
Colin McRae Rally 2.0,GBA
David Beckham Soccer,GBA
Uno 52,GBA
Pokemon - Edicion Rubi,GBA
Power Rangers - Ninja Storm,GBA
Digimon Racing,GBA
Little League Baseball 2002,GBA
Konami Collector's Series - Arcade Advanced,GBA
Pocket Dogs,GBA
Quad Desert Fury,GBA
"Incredible Hulk, The",GBA
Earthworm Jim,GBA
2 Games in 1 - Disney Princesas + Lizzie McGuire,GBA
"Jungle Book, The",GBA
Tak and the Power of Juju,GBA
2 Games in 1 - SpongeBob SquarePants - Revenge of the Flying Dutchman + SpongeBob SquarePants - SuperSponge,GBA
2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race,GBA
SD Gundam Force,GBA
Battle B-Daman,GBA
2 Games in 1 - Quad Desert Fury + Monster Trucks,GBA
Game Boy Advance Video - Pokemon - Volume 4,GBA
Medabots - Metabee,GBA
Ultimate Muscle - The Kinnikuman Legacy - The Path of the Superhero,GBA
Contra Advance - The Alien Wars EX,GBA
Let's Ride! - Dreamer,GBA
Lizzie McGuire 2 - Lizzie Diaries,GBA
Aero the Acro-Bat - Rascal Rival Revenge,GBA
Resident Evil 2,GBA
Teenage Mutant Ninja Turtles 2 - Battle Nexus,GBA
Mega Man Battle Network,GBA
"Legend of Zelda, The - The Minish Cap",GBA
Dave Mirra Freestyle BMX 3,GBA
Disney Princess - Royal Adventure,GBA
Mortal Kombat - Deadly Alliance,GBA
Mario & Luigi - Superstar Saga,GBA
Spider-Man 3,GBA
"Urbz, The - Sims in the City",GBA
Killer 3D Pool,GBA
Harlem Globetrotters - World Tour,GBA
Hugo - The Evil Mirror Advance,GBA
2 in 1 Game Pack - Shrek 2 + Shark Tale,GBA
WarioWare - Twisted!,GBA
Sonic Pinball Party,GBA
Fire Emblem - The Sacred Stones,GBA
Mary-Kate and Ashley - Girls Night Out,GBA
Mario Kart - Super Circuit,GBA
Yu-Gi-Oh! - Destiny Board Traveler,GBA
"Sims 2, The - Pets",GBA
X-Men - The Official Game,GBA
Charlie and the Chocolate Factory,GBA
Kirby - Nightmare in Dream Land,GBA
Boktai - The Sun Is in Your Hand,GBA
Boktai 2 - Solar Boy Django,GBA
Top Gun - Combat Zones,GBA
Monster Jam - Maximum Destruction,GBA
Tringo,GBA
Ozzy & Drix,GBA
Advance Guardian Heroes,GBA
Frogger's Journey - The Forgotten Relic,GBA
LEGO Star Wars II - The Original Trilogy,GBA
Ms. Pac-Man - Maze Madness,GBA
Crazy Taxi - Catch a Ride,GBA
Rocket Power - Zero Gravity Zone,GBA
Ever Girl,GBA
DemiKids - Light Version,GBA
"SpongeBob SquarePants - Lights, Camera, Pants!",GBA
Rayman - 10th Anniversary,GBA
Kong - The Animated Series,GBA
M&M's - Blast!,GBA
Cabela's Big Game Hunter - 2005 Adventures,GBA
"American Tail, An - Fievel's Gold Rush",GBA
Jet Grind Radio,GBA
Game Boy Advance Video - Nicktoons Collection - Volume 2,GBA
Ace Combat Advance,GBA
"Legend of Zelda, The - A Link to the Past & Four Swords",GBA
Thunderbirds,GBA
Shaman King - Legacy of the Spirits - Soaring Hawk,GBA
Dora the Explorer - Super Star Adventures!,GBA
Castlevania - Circle of the Moon,GBA
Dr. Mario,GBA
Advance Wars,GBA
Mega Man Zero 4,GBA
Metroid Fusion,GBA
Scooby-Doo! - Unmasked,GBA
Advance Wars 2 - Black Hole Rising,GBA
Advance Wars,GBA
Super Dropzone - Intergalactic Rescue Mission,GBA
Animal Snap - Rescue Them 2 by 2,GBA
Army Men Advance,GBA
Space Channel 5 - Ulala's Cosmic Attack,GBA
Shrek - Reekin' Havoc,GBA
2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race,GBA
Cabela's Big Game Hunter,GBA
Spyro - Season of Ice,GBA
Monster Trucks Mayhem,GBA
Digimon - Battle Spirit 2,GBA
Madden NFL 06,GBA
Ready 2 Rumble Boxing - Round 2,GBA
Game Boy Advance Video - Cartoon Network Collection - Platinum Edition,GBA
"Lord of the Rings, The - The Return of the King",GBA
Hello Kitty - Happy Party Pals,GBA
Star Wars Trilogy - Apprentice of the Force,GBA
Caesars Palace Advance - Millennium Gold Edition,GBA
Game Boy Advance Video - The Proud Family - Volume 1,GBA
Jackie Chan Adventures - Legend of the Darkhand,GBA
Spyro - Attack of the Rhynocs,GBA
Donkey Kong 3,GBA
Scooby-Doo! - Mystery Mayhem,GBA
Game Boy Advance Video - Shrek,GBA
Drake & Josh,GBA
Super Mario Advance 3 - Yoshi's Island,GBA
Jimmy Neutron Boy Genius,GBA
Pac-Man World 2,GBA
Tony Hawk's Downhill Jam,GBA
Summon Night - Swordcraft Story,GBA
American Idol,GBA
Shin chan contra los Munecos de Shock Gahn,GBA
Dora the Explorer Double Pack,GBA
Chessmaster,GBA
Advance Wars,GBA
Super Robot Taisen - Original Generation 2,GBA
Super Ghouls'n Ghosts,GBA
NASCAR Heat 2002,GBA
Naruto - Ninja Council 2,GBA
Robot Wars - Advanced Destruction,GBA
"Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron, The",GBA
Castlevania Double Pack,GBA
Dave Mirra Freestyle BMX 2,GBA
Medabots - Metabee,GBA
Top Gear GT Championship,GBA
Mega Man Battle Chip Challenge,GBA
Vecinos Invasores,GBA
Samurai Jack - The Amulet of Time,GBA
Prince of Persia - The Sands of Time,GBA
Lara Croft Tomb Raider - The Prophecy,GBA
Barbie Horse Adventures - Blue Ribbon Race,GBA
Wade Hixton's Counter Punch,GBA
Monster! Bass Fishing,GBA
Finding Nemo,GBA
Rayman - Hoodlum's Revenge,GBA
Tokyo Xtreme Racer Advance,GBA
Dexter's Laboratory - Chess Challenge,GBA
AirForce Delta Storm,GBA
Yu-Gi-Oh! - The Eternal Duelist Soul,GBA
Bratz - The Movie,GBA
Shrek - Swamp Kart Speedway,GBA
"Bible Game, The",GBA
"Wild Thornberrys, The - Chimp Chase",GBA
Sportsman's Pack,GBA
Tales of Phantasia,GBA
Fire Emblem - The Sacred Stones,GBA
CT Special Forces 2 - Back in the Trenches,GBA
Midway's Greatest Arcade Hits,GBA
R-Type III - The Third Lightning,GBA
Pokemon - LeafGreen Version,GBA
High Heat Major League Baseball 2003,GBA
Spyro 2 - Season of Flame,GBA
Pokemon - Aurora Ticket Distribution,GBA
"Proud Family, The",GBA
Mega Man & Bass,GBA
Bionicle - Matoran Adventures,GBA
Zone of the Enders - The Fist of Mars,GBA
Grand Theft Auto Advance,GBA
FIFA Soccer 06,GBA
SimCity 2000,GBA
Beyblade V-Force - Ultimate Blader Jam,GBA
Tennis,GBA
Racing Gears Advance,GBA
WinX Club,GBA
Mech Platoon,GBA
NHL Hitz 20-03,GBA
Pokemon - Ruby Version,GBA
Crash & Spyro Superpack - Spyro - Season of Ice + Crash Bandicoot - The Huge Adventure,GBA
Banjo-Kazooie - Grunty's Revenge,GBA
Winnie the Pooh's Rumbly Tumbly Adventure,GBA
Batman Begins,GBA
Hey Arnold! - The Movie,GBA
Peter Pan - The Motion Picture Event,GBA
LEGO Racers 2,GBA
"Ed, Edd n Eddy - Jawbreakers!",GBA
World Championship Poker,GBA
NHL 2002,GBA
Worms World Party,GBA
Pokemon - Edicion Esmeralda,GBA
Legends of Wrestling II,GBA
Rock n' Roll Racing,GBA
Rave Master - Special Attack Force!,GBA
Urban Yeti!,GBA
Harvest Moon - Friends of Mineral Town,GBA
"Land Before Time, The",GBA
Batman - Rise of Sin Tzu,GBA
FIFA Soccer 07,GBA
Pixeline i Pixieland,GBA
Shrek - Super Slam,GBA
Dokapon,GBA
Game Boy Advance Video - The Fairly OddParents! - Volume 2,GBA
X-Men - Reign of Apocalypse,GBA
Castlevania - Aria of Sorrow,GBA
Quiere Ser Millonario,GBA
Mega Man Zero,GBA
"Wild Thornberrys Movie, The",GBA
Game Boy Advance Video - Pokemon - Volume 3,GBA
Super Monkey Ball Jr.,GBA
Jurassic Park III - Park Builder,GBA
ZooCube,GBA
Jazz Jackrabbit,GBA
VeggieTales - LarryBoy and the Bad Apple,GBA
Game Boy Advance Video - Cartoon Network Collection - Special Edition,GBA
Street Racing Syndicate,GBA
Super Mario Advance,GBA
Stadium Games,GBA
Pinobee - Wings of Adventure,GBA
Prehistorik Man,GBA
CIMA - The Enemy,GBA
Tony Hawk's Pro Skater 3,GBA
Wolfenstein 3D,GBA
Math Patrol - The Kleptoid Threat,GBA
Classic NES Series - Ice Climber,GBA
Madden NFL 07,GBA
Mega Man Battle Network 3 - White Version,GBA
Frogger's Adventures 2 - The Lost Wand,GBA
Metroid - Zero Mission,GBA
Karnaaj Rally,GBA
Family Feud,GBA
Mijn Dierenpraktijk,GBA
Monster Rancher Advance,GBA
Super Duper Sumos,GBA
Bomberman Max 2 - Blue Advance,GBA
2 Games in 1 - Scooby-Doo + Scooby-Doo 2 - Desatado,GBA
River City Ransom EX,GBA
Iridion 3D,GBA
Ultimate Brain Games,GBA
Star Wars - Episode II - Attack of the Clones,GBA
Donkey Kong Jr.,GBA
Hot Wheels - All Out,GBA
Hamtaro - Ham-Ham Games,GBA
Bionicle,GBA
"Santa Clause 3, The - The Escape Clause",GBA
"Invincible Iron Man, The",GBA
Blib Sample by Nintendo,GBA
Baseball Advance,GBA
Rampage - Puzzle Attack,GBA
Spy Hunter,GBA
Classic NES Series - Xevious,GBA
Drill Dozer,GBA
"Lost Vikings, The",GBA
Power Rangers - Wild Force,GBA
Golf,GBA
Fortress,GBA
Backyard Baseball,GBA
Pac-Man Pinball Advance,GBA
Pinball,GBA
Harry Potter and the Chamber of Secrets,GBA
Shining Force - Resurrection of the Dark Dragon,GBA
Mega Man Battle Network 3 - White Version,GBA
Mega Man Battle Network 5 - Team Colonel,GBA
Zapper - One Wicked Cricket!,GBA
Sonic Advance 3,GBA
Duel Masters - Kaijudo Showdown,GBA
Pink Panther - Pinkadelic Pursuit,GBA
Three-in-One Pack - Connect Four + Perfection + Trouble,GBA
Dynasty Warriors Advance,GBA
Shark Tale,GBA
Phantasy Star Collection,GBA
Pokemon - Edicion Verde Hoja,GBA
Surf's Up,GBA
Super Collapse! II,GBA
Garfield - The Search for Pooky,GBA
Robopon 2 - Cross Version,GBA
Texas Hold 'em Poker,GBA
Cubix - Robots for Everyone - Clash 'N Bash,GBA
Dark Arena,GBA
Army Men - Operation Green,GBA
Final Fantasy VI Advance,GBA
Shrek 2 - Beg for Mercy,GBA
Punch King - Arcade Boxing,GBA
Lilo & Stitch,GBA
GBA Personal Organizer,gba
Yu-Gi-Oh! - World Championship Tournament 2004,GBA
Alienators - Evolution Continues,GBA
Antz - Extreme Racing,GBA
Mario Party Advance,GBA
Nicktoons - Attack of the Toybots,GBA
Super Street Fighter II Turbo - Revival,GBA
Mega Man Battle Network 6 - Cybeast Gregar,GBA
Secret Agent Barbie - Royal Jewels Mission,GBA
Classic NES Series - Excitebike,GBA
Beyblade G-Revolution,GBA
Knights' Kingdom,GBA
xXx,GBA
Super Army War,GBA
Chicken Little,GBA
Elf Bowling 1 & 2,GBA
Fear Factor Unleashed,GBA
American Bass Challenge,GBA
Digimon - Battle Spirit,GBA
Board Game Classics,GBA
2 Games in One! - Dr. Mario + Puzzle League,GBA
Chicken Shoot,GBA
Super Robot Taisen - Original Generation,GBA
CT Special Forces,GBA
Cinderella - Magical Dreams,GBA
Horsez,GBA
Enchanted - Once Upon Andalasia,GBA
Star Wars - Episode III - Revenge of the Sith,GBA
Batman - Vengeance,GBA
Shrek - Smash n' Crash Racing,GBA
Konami Krazy Racers,GBA
Duke Nukem Advance,GBA
DK - King of Swing,GBA
"Muppets, The - On with the Show!",GBA
Metal Slug Advance,GBA
Pokemon Mystery Dungeon - Red Rescue Team,GBA
2 Games in 1 - Finding Nemo - The Continuing Adventures + The Incredibles,GBA
Camp Lazlo - Leaky Lake Games,GBA
"Hobbit, The",GBA
SpongeBob SquarePants - Revenge of the Flying Dutchman,GBA
Piglet's Big Game,GBA
Tom Clancy's Rainbow Six - Rogue Spear,GBA
Bubble Bobble - Old & New,GBA
Hot Potato!,GBA
Tetris Worlds,GBA
Golden Sun - The Lost Age,GBA
Harry Potter - Quidditch World Cup,GBA
Tang Tang,GBA
Shining Soul II,GBA
"Bee Game, The",GBA
Medabots AX - Metabee Ver.,GBA
March of the Penguins,GBA
Super Mario Advance 2 - Super Mario World,GBA
Tom Clancy's Splinter Cell,GBA
Back Track,GBA
"Pinball of the Dead, The",GBA
Three-in-One Pack - Sorry! + Aggravation + Scrabble Junior,GBA
Classic NES Series - Zelda II - The Adventure of Link,GBA
"Powerpuff Girls, The - Mojo Jojo A-Go-Go",GBA
"Monsters, Inc.",GBA
MLB SlugFest 20-04,GBA
Shrek the Third,GBA
Barbie Groovy Games,GBA
Game Boy Advance Video - Nicktoons - Volume 3,GBA
Jonny Moseley Mad Trix,GBA
Mega Man Battle Network 4 - Blue Moon,GBA
"Incredibles, The - Rise of the Underminer",GBA
Home on the Range,GBA
Need for Speed - Porsche Unleashed,GBA
Catwoman,GBA
Mobile Suit Gundam Seed - Battle Assault,GBA
2 Games in 1 - Scooby-Doo + Scooby-Doo 2 - Monsters Unleashed,GBA
Shining Soul,GBA
Polarium Advance,GBA
Army Men - Turf Wars,GBA
Mega Man Zero 3,GBA
Galidor - Defenders of the Outer Dimension,GBA
Mega Man Battle Network 3 - Blue Version,GBA
Super Bubble Pop,GBA
Car Battler Joe,GBA
Dragon Ball - Advanced Adventure,GBA
Banjo-Kazooie - La Venganza de Grunty,GBA
Atomic Betty,GBA
Wakeboarding Unleashed featuring Shaun Murray,GBA
Atlantis - The Lost Empire,GBA
Demon Driver - Time to Burn Rubber!,GBA
Mario & Luigi - Superstar Saga,GBA
Shaman King - Master of Spirits 2,GBA
Star Wars - Flight of the Falcon,GBA
"Incredibles, The",GBA
Bruce Lee - Return of the Legend,GBA
Phil of the Future,GBA
Game Boy Advance Video - Yu-Gi-Oh! - Yugi vs. Joey,GBA
F-Zero - GP Legend,GBA
Pokemon - FireRed Version,GBA
SpongeBob SquarePants - Creature from the Krusty Krab,GBA
Hot Wheels - Stunt Track Challenge,GBA
Superman - Countdown to Apokolips,GBA
Bratz - Rock Angelz,GBA
Kong - King of Atlantis,GBA
Daredevil,GBA
Aging Cartridge,GBA
Cars - Mater-National Championship,GBA
Max Payne,GBA
Mortal Kombat - Tournament Edition,GBA
I Spy Challenger!,GBA
Final Fantasy IV Advance,GBA
Classic NES Series - Bomberman,GBA
Golden Sun,GBA
Charlotte's Web,GBA
Over the Hedge - Beesten bij de Buren,GBA
"WarioWare, Inc. - Mega Microgame$!",GBA
Thunder Alley,GBA
Lizzie McGuire 3 - Homecoming Havoc,GBA
Dora the Explorer - Super Spies,GBA
Mario Golf - Advance Tour,GBA
FIFA Soccer 2005,GBA
LC Font Sample by Nintendo,GBA
LEGO Soccer Mania,GBA
Castlevania - Aria of Sorrow,GBA
Tekken Advance,GBA
Puppy Luv - Spa and Resort,GBA
Backyard Basketball,GBA
Looney Tunes - Back in Action,GBA
Smuggler's Run,GBA
Tom Clancy's Splinter Cell - Pandora Tomorrow,GBA
Koala Brothers - Outback Adventures,GBA
Polly Pocket! - Super Splash Island,GBA
Donkey Kong,GBA
Power Rangers - Dino Thunder,GBA
Metroid - Zero Mission,GBA
Dogz - Fashion,GBA
CodeBreaker,GBA
Fire Pro Wrestling,GBA
Mijn Dierenpension,GBA
Dragon Ball Z - Taiketsu,GBA
Phalanx,GBA
Jurassic Park III - Island Attack,GBA
Ice Nine,GBA
Wing Commander - Prophecy,GBA
World Poker Tour,GBA
2K Sports - Major League Baseball 2K7,GBA
Excitebike,GBA
Moto GP,GBA
Jurassic Park III - The DNA Factor,GBA
"Princess Natasha - Student, Secret Agent, Princess",GBA
Kid's Cards,GBA
Serious Sam Advance,GBA
Blackthorne,GBA
All-Star Baseball 2004,GBA
"Morning Adventure, The",GBA
Mega Man Zero,GBA
Doom,GBA
Tak - The Great Juju Challenge,GBA
Street Fighter Alpha 3,GBA
Futbol,MSX
Super Tripper,MSX
Leonard,MSX
Mil Caras,MSX
Tension,MSX
Boing Boing,MSX
Bouncing Block,MSX
MSX-Logo,msx
Slapshot,MSX
Bouncing Block,MSX
Dip Dip,MSX
Wrangler,MSX
Comecocos,MSX
Yab Yum,MSX
Arcus Odyssey,GEN
Tecmo Super Bowl II - Special Edition,GEN
Air Diver,GEN
Super Hydlide,GEN
Super Thunder Blade,GEN
Pier Solar and the Great Architects,GEN
La Russa Baseball 95,GEN
Coach K College Basketball,GEN
Beauty and the Beast - Belle's Quest,GEN
Beavis and Butt-Head,GEN
Clay Fighter,GEN
Master of Monsters,GEN
California Games,GEN
Bram Stoker's Dracula,GEN
Pete Sampras Tennis,GEN
Back to the Future Part III,GEN
Rock n' Roll Racing,GEN
Thunder Fox,GEN
Sonic 3D Blast ~ Sonic 3D Flickies' Island,GEN
James Pond 3,GEN
James Bond 007 - The Duel,GEN
3 Ninjas Kick Back,GEN
Daimakaimura ~ Ghouls'n Ghosts,GEN
McDonald's Treasure Land Adventure,GEN
Aero the Acro-Bat 2,GEN
Battletoads,GEN
Jurassic Park - Rampage Edition,GEN
NHL 97,GEN
Granada,GEN
Bass Masters Classic,GEN
Wimbledon Championship Tennis,GEN
Out of this World,GEN
Toki - Going Ape Spit,GEN
Dynamite Duke,GEN
"Adventures of Rocky and Bullwinkle and Friends, The",GEN
Shining Force II,GEN
Primal Rage,GEN
Jammit,GEN
ESPN Sunday Night NFL,GEN
Light Crusader,GEN
Top Gear 2,GEN
FIFA International Soccer,GEN
Fun 'n' Games,GEN
Bass Masters Classic - Pro Edition,GEN
Joe Montana II Sports Talk Football,GEN
Super Hang-On,GEN
Forgotten Worlds,GEN
Mystical Fighter,GEN
Shadow of the Beast II,GEN
Rugby World Cup 95,GEN
Tecmo World Cup,GEN
PGA Tour Golf III,GEN
Chester Cheetah - Wild Wild Quest,GEN
Star Trek - The Next Generation - Echoes from the Past,GEN
Mortal Kombat,GEN
OutRun,GEN
Beggar Prince,GEN
Deadly Moves,GEN
